model,condition,bin,n_baseline,n_treatment,meandiff_engagement_score,meandiff_difficulty_delta
Qwen-14B,direct_gaze_explicit,60-70%,100,100,0.8,0.0
Qwen-14B,direct_gaze_explicit,70-80%,100,100,0.1,0.0
Qwen-14B,direct_gaze_explicit,80-90%,100,100,1.54,0.0
Qwen-14B,direct_gaze_explicit,90-100%,100,100,0.32,0.0
Qwen2.5-32B,gaze_aversion,0-10%,100,100,3.9,0.541
Qwen2.5-32B,gaze_aversion,10-20%,100,100,3.51,0.4945
Qwen2.5-32B,gaze_aversion,20-30%,100,100,3.08,0.3155
Qwen2.5-32B,gaze_aversion,30-40%,100,100,3.0,0.247
Qwen2.5-32B,gaze_aversion,40-50%,100,100,1.2,0.16
Qwen2.5-32B,gaze_aversion,50-60%,100,100,1.1,0.115
Qwen2.5-32B,gaze_aversion,60-70%,100,100,0.0,0.0
Qwen2.5-32B,gaze_aversion,70-80%,100,100,0.24,-0.06
Qwen2.5-32B,gaze_aversion,80-90%,100,100,0.05,-0.5
Qwen2.5-32B,gaze_aversion,90-100%,100,100,-0.08,-0.4605
Qwen2.5-32B,direct_gaze_explicit,0-10%,100,100,-0.14,-0.0055
Qwen2.5-32B,direct_gaze_explicit,10-20%,100,100,0.3,0.063
Qwen2.5-32B,direct_gaze_explicit,20-30%,100,100,-0.03,0.0205
Qwen2.5-32B,direct_gaze_explicit,30-40%,100,100,0.0,-0.003
Qwen2.5-32B,direct_gaze_explicit,40-50%,100,100,0.17,-0.03
Qwen2.5-32B,direct_gaze_explicit,50-60%,100,100,0.13,0.04
Qwen2.5-32B,direct_gaze_explicit,60-70%,100,100,0.0,0.0
Qwen2.5-32B,direct_gaze_explicit,70-80%,100,100,0.24,0.0
Qwen2.5-32B,direct_gaze_explicit,80-90%,100,100,1.32,0.0
Qwen2.5-32B,direct_gaze_explicit,90-100%,100,100,0.81,0.206
QwenVL-7B,gaze_aversion,0-10%,100,100,2.35,0.3404
QwenVL-7B,gaze_aversion,10-20%,100,100,1.76,0.319
